country,continent,year,population,gdp,primary_energy_consumption,renewable_energy_consumption,renewables_share_energy,electricity_generation,fossil_fuel_consumption,coal_consumption,oil_consumption,gas_consumption,nuclear_consumption,solar_capacity_mw,wind_capacity_mw,hydro_capacity_mw,carbon_emissions_mt,energy_imports_twh,energy_exports_twh,energy_intensity_gdp,average_energy_price_usd_per_kwh,industrial_energy_use_twh,residential_energy_use_twh,transport_energy_use_twh,temperature_celsius,renewable_investment_usd_billion,energy_efficiency_index,urbanization_rate,policy_index
United States,North America,2000,282.0,10250.0,14.1,2.11,15.0,4.93,11.98,4.19,4.79,3.0,2.11,282.0,564.0,1410.0,9.42,2.91,0.28,0.0014,0.098,4.23,4.23,4.23,12.46,38.44,60.39,75.0,5.66
United States,North America,2001,284.26,10506.25,14.43,2.28,15.8,5.12,12.15,4.15,4.81,3.18,2.19,355.32,670.84,1463.92,9.51,2.5,0.29,0.0014,0.0643,4.33,4.33,4.33,12.77,47.72,61.6,75.5,6.36
United States,North America,2002,286.53,10768.91,14.76,2.45,16.6,5.31,12.31,4.11,4.83,3.37,2.27,447.7,797.93,1519.9,9.59,2.26,0.3,0.0013,0.1028,4.43,4.43,4.43,12.74,59.1,61.25,76.0,5.98
United States,North America,2003,288.82,11038.13,15.1,2.63,17.4,5.51,12.47,4.07,4.84,3.57,2.36,564.11,949.09,1578.02,9.68,2.68,0.3,0.0013,0.0782,4.53,4.53,4.53,12.17,73.03,63.33,76.5,6.24
United States,North America,2004,291.13,11314.08,15.45,2.81,18.2,5.72,12.64,4.02,4.85,3.77,2.44,710.77,1128.88,1638.36,9.76,3.74,0.31,0.0013,0.0736,4.63,4.63,4.63,11.74,90.04,64.27,77.0,6.56
United States,North America,2005,293.46,11596.93,15.81,3.0,19.0,5.93,12.8,3.97,4.87,3.97,2.53,895.57,1342.74,1701.01,9.85,4.23,0.32,0.0013,0.078,4.74,4.74,4.74,12.23,110.8,66.37,77.5,6.3
United States,North America,2006,295.81,11886.86,16.17,3.2,19.8,6.15,12.97,3.92,4.88,4.18,2.62,1128.42,1597.11,1766.06,9.93,3.9,0.32,0.0012,0.0788,4.85,4.85,4.85,11.37,136.1,69.0,78.0,7.37
United States,North America,2007,298.18,12184.03,16.55,3.41,20.6,6.37,13.14,3.86,4.89,4.39,2.71,1421.81,1899.66,1833.59,10.02,4.49,0.33,0.0012,0.0862,4.96,4.96,4.96,11.48,166.91,69.14,78.5,6.99
United States,North America,2008,300.56,12488.63,16.93,3.62,21.4,6.6,13.31,3.81,4.9,4.6,2.81,1791.49,2259.54,1903.71,10.1,2.85,0.34,0.0012,0.0958,5.08,5.08,5.08,11.39,204.39,71.24,79.0,6.96
United States,North America,2009,302.97,12800.85,17.32,3.85,22.2,6.84,13.48,3.75,4.91,4.82,2.91,2257.27,2687.58,1976.51,10.18,4.32,0.35,0.0012,0.0905,5.2,5.2,5.2,12.4,249.93,70.99,79.5,7.03
United States,North America,2010,305.39,13120.87,17.72,4.08,23.0,7.09,13.65,3.68,4.91,5.05,3.01,2844.16,3196.72,2052.09,10.26,5.24,0.35,0.0011,0.111,5.32,5.32,5.32,13.28,305.22,73.58,80.0,7.6
United States,North America,2011,307.83,13448.89,18.13,4.53,25.0,7.34,13.6,3.56,4.84,5.19,3.12,3583.65,3802.31,2130.56,10.11,5.23,0.36,0.0011,0.0855,5.44,5.44,5.44,11.83,391.06,71.38,80.5,7.48
United States,North America,2012,310.3,13785.11,18.55,5.01,27.0,7.61,13.54,3.44,4.77,5.34,3.23,4515.39,4522.61,2212.04,9.96,3.86,0.37,0.0011,0.0949,5.56,5.56,5.56,13.14,497.84,73.83,81.0,7.58
United States,North America,2013,312.78,14129.74,18.98,5.5,29.0,7.88,13.47,3.31,4.69,5.47,3.34,5689.4,5379.38,2296.62,9.79,4.39,0.38,0.0011,0.0916,5.69,5.69,5.69,13.12,630.3,73.9,81.5,8.44
United States,North America,2014,315.28,14482.98,19.42,6.02,31.0,8.16,13.4,3.19,4.61,5.6,3.46,7168.64,6398.45,2384.45,9.62,5.16,0.39,0.0011,0.0959,5.83,5.83,5.83,11.57,794.2,78.06,82.0,8.31
United States,North America,2015,317.8,14845.06,19.87,6.56,33.0,8.44,13.31,3.06,4.53,5.72,3.58,9032.49,7610.57,2475.63,9.45,5.15,0.4,0.001,0.1209,5.96,5.96,5.96,11.75,996.56,77.43,82.5,9.87
United States,North America,2016,320.34,15216.18,20.33,7.11,35.0,8.74,13.21,2.93,4.44,5.84,3.7,11380.93,9052.32,2570.3,9.26,5.68,0.41,0.001,0.1169,6.1,6.1,6.1,12.3,1245.89,77.45,83.0,10.0
United States,North America,2017,322.91,15596.59,20.8,7.69,37.0,9.05,13.1,2.8,4.35,5.95,3.83,14339.97,10767.19,2668.58,9.08,4.13,0.42,0.001,0.1232,6.24,6.24,6.24,12.96,1552.51,81.95,83.5,10.0
United States,North America,2018,325.49,15986.5,21.28,8.3,39.0,9.36,12.98,2.67,4.26,6.05,3.96,18068.37,12806.92,2770.63,8.88,3.57,0.43,0.001,0.1245,6.38,6.38,6.38,13.24,1928.94,81.85,84.0,10.0
United States,North America,2019,328.09,16386.16,21.77,8.92,41.0,9.69,12.84,2.54,4.16,6.14,4.09,22766.14,15233.07,2876.58,8.68,4.88,0.44,0.0009,0.1189,6.53,6.53,6.53,12.62,2390.34,80.9,84.5,10.0
United States,North America,2020,330.72,16795.82,22.27,9.58,43.0,10.02,12.69,2.41,4.06,6.22,4.23,28685.34,18118.82,2986.58,8.47,3.45,0.45,0.0009,0.1255,6.68,6.68,6.68,12.43,2955.06,84.03,85.0,10.0
United States,North America,2021,333.37,17215.71,22.79,10.25,45.0,10.37,12.53,2.28,3.96,6.29,4.38,36143.53,21551.25,3100.79,8.26,4.27,0.46,0.0009,0.1184,6.84,6.84,6.84,13.35,3645.29,84.12,85.5,10.0
United States,North America,2022,336.03,17646.11,23.31,10.96,47.0,10.72,12.36,2.15,3.86,6.35,4.52,45540.85,25633.92,3219.36,8.03,4.51,0.47,0.0009,0.1104,6.99,6.99,6.99,13.74,4487.86,87.63,86.0,10.0
United States,North America,2023,338.72,18087.26,23.85,11.69,49.0,11.09,12.16,2.02,3.75,6.4,4.68,57381.47,30490.01,3342.47,7.81,6.7,0.48,0.0009,0.1381,7.16,7.16,7.16,12.29,5515.17,89.17,86.5,10.0
United States,North America,2024,341.43,18539.44,24.4,12.45,51.0,11.47,11.96,1.89,3.64,6.43,4.83,72300.65,36266.03,3470.29,7.57,6.62,0.49,0.0008,0.1438,7.32,7.32,7.32,12.6,6766.36,87.24,87.0,10.0
China,Asia,2000,1262.0,1200.0,31.55,4.1,13.0,11.04,27.45,9.61,10.98,6.86,4.73,252.4,631.0,3786.0,21.81,6.75,0.63,0.0263,0.0727,12.62,9.46,9.46,18.72,3.9,43.03,50.0,4.01
China,Asia,2001,1280.93,1278.0,32.5,4.56,14.04,11.54,27.94,9.56,11.06,7.32,4.94,320.23,755.75,3958.07,22.08,6.91,0.65,0.0251,0.0504,13.0,9.75,9.75,17.28,5.16,45.55,50.5,4.59
China,Asia,2002,1300.14,1361.07,33.49,5.05,15.08,12.05,28.44,9.5,11.15,7.79,5.16,406.29,905.16,4137.97,22.35,6.65,0.67,0.0239,0.0638,13.39,10.05,10.05,18.49,6.79,46.85,51.0,4.77
China,Asia,2003,1319.65,1449.54,34.5,5.56,16.12,12.59,28.94,9.43,11.23,8.28,5.38,515.49,1084.11,4326.04,22.61,10.16,0.69,0.0227,0.0546,13.8,10.35,10.35,18.11,8.88,47.8,51.5,4.23
China,Asia,2004,1339.44,1543.76,35.54,6.1,17.16,13.15,29.44,9.36,11.31,8.77,5.62,654.02,1298.44,4522.66,22.88,5.53,0.71,0.0216,0.0704,14.22,10.66,10.66,18.17,11.58,48.01,52.0,4.38
China,Asia,2005,1359.53,1644.1,36.62,6.66,18.2,13.73,29.95,9.28,11.38,9.28,5.86,829.79,1555.14,4728.21,23.14,10.48,0.73,0.0206,0.0571,14.65,10.98,10.98,17.49,15.05,50.96,52.5,5.24
China,Asia,2006,1379.93,1750.97,37.72,7.26,19.24,14.33,30.46,9.2,11.45,9.81,6.11,1052.8,1862.59,4943.11,23.4,7.03,0.75,0.0196,0.0759,15.09,11.32,11.32,18.76,19.48,51.15,53.0,5.13
China,Asia,2007,1400.62,1864.78,38.86,7.88,20.28,14.96,30.98,9.11,11.52,10.35,6.37,1335.74,2230.83,5167.77,23.66,7.97,0.78,0.0187,0.0758,15.54,11.66,11.66,18.55,25.15,53.54,53.5,4.64
China,Asia,2008,1421.63,1985.99,40.04,8.54,21.32,15.61,31.5,9.01,11.59,10.9,6.65,1694.72,2671.86,5402.65,23.92,11.02,0.8,0.0177,0.0648,16.01,12.01,12.01,17.69,32.38,52.76,54.0,5.29
China,Asia,2009,1442.96,2115.08,41.25,9.22,22.36,16.29,32.02,8.9,11.66,11.46,6.93,2150.18,3200.09,5648.2,24.18,10.38,0.82,0.0169,0.0542,16.5,12.37,12.37,18.38,41.59,54.71,54.5,5.5
China,Asia,2010,1464.6,2252.56,42.49,9.94,23.4,17.0,32.55,8.79,11.72,12.04,7.22,2728.03,3832.74,5904.91,24.43,7.49,0.85,0.016,0.0826,17.0,12.75,12.75,18.17,53.31,58.75,55.0,5.14
China,Asia,2011,1486.57,2398.98,43.78,11.38,26.0,17.73,32.4,8.49,11.53,12.38,7.53,3461.19,4590.48,6173.29,23.96,8.81,0.88,0.0152,0.061,17.51,13.13,13.13,19.29,72.55,59.71,55.5,5.41
China,Asia,2012,1508.87,2554.92,45.1,12.9,28.6,18.49,32.2,8.18,11.34,12.69,7.85,4391.39,5498.02,6453.86,23.46,11.23,0.9,0.0145,0.0907,18.04,13.53,13.53,18.59,97.74,59.52,56.0,5.54
China,Asia,2013,1531.5,2720.98,46.46,14.5,31.2,19.28,31.97,7.86,11.12,12.98,8.18,5571.58,6584.97,6747.19,22.93,7.62,0.93,0.0137,0.0954,18.59,13.94,13.94,19.32,130.58,61.13,56.5,5.79
China,Asia,2014,1554.48,2897.85,47.87,16.18,33.8,20.1,31.69,7.54,10.9,13.25,8.52,7068.94,7886.82,7053.85,22.38,9.69,0.96,0.013,0.09,19.15,14.36,14.36,19.35,173.26,63.35,57.0,6.38
China,Asia,2015,1577.79,3086.21,49.32,17.95,36.4,20.96,31.36,7.21,10.66,13.49,8.88,8968.71,9446.05,7374.45,21.81,12.15,0.99,0.0124,0.0659,19.73,14.79,14.79,17.92,228.53,64.59,57.5,8.36
China,Asia,2016,1601.46,3286.81,50.81,19.81,39.0,21.85,30.99,6.88,10.41,13.7,9.25,11379.06,11313.53,7709.62,21.21,7.69,1.02,0.0117,0.0681,20.32,15.24,15.24,18.97,299.88,62.22,58.0,8.06
China,Asia,2017,1625.48,3500.46,52.34,21.77,41.6,22.77,30.57,6.54,10.15,13.88,9.63,14437.18,13550.22,8060.02,20.58,12.16,1.05,0.0111,0.0932,20.94,15.7,15.7,18.98,391.76,64.3,58.5,8.76
China,Asia,2018,1649.86,3727.99,53.92,23.83,44.2,23.73,30.09,6.2,9.87,14.02,10.03,18317.17,16229.09,8426.35,19.92,10.01,1.08,0.0106,0.08,21.57,16.18,16.18,19.21,509.8,67.2,59.0,9.05
China,Asia,2019,1674.61,3970.3,55.55,26.0,46.8,24.72,29.55,5.85,9.58,14.13,10.44,23239.91,19437.58,8809.33,19.24,13.81,1.11,0.01,0.0912,22.22,16.67,16.67,17.95,661.1,67.27,59.5,8.62
China,Asia,2020,1699.73,4228.37,57.23,28.27,49.4,25.75,28.96,5.5,9.27,14.19,10.87,29485.63,23280.4,9209.71,18.54,10.68,1.14,0.0095,0.1089,22.89,17.17,17.17,18.59,854.67,70.57,60.0,9.13
China,Asia,2021,1725.23,4503.22,58.96,30.66,52.0,26.83,28.3,5.15,8.94,14.21,11.32,37409.9,27882.93,9628.29,17.8,15.87,1.18,0.009,0.0916,23.58,17.69,17.69,18.99,1101.85,70.17,60.5,8.85
China,Asia,2022,1751.11,4795.93,60.74,33.17,54.6,27.94,27.58,4.8,8.6,14.18,11.78,47463.81,33395.38,10065.9,17.04,15.69,1.21,0.0085,0.0842,24.3,18.22,18.22,17.93,1416.96,71.98,61.0,8.98
China,Asia,2023,1777.37,5107.66,62.58,35.8,57.2,29.1,26.78,4.45,8.25,14.09,12.27,60219.7,39997.65,10523.39,16.26,18.22,1.25,0.008,0.1127,25.03,18.77,18.77,19.75,1818.06,72.08,61.5,8.97
China,Asia,2024,1804.03,5439.66,64.47,38.55,59.8,30.3,25.92,4.09,7.88,13.94,12.77,76403.75,47905.19,11001.68,15.44,18.65,1.29,0.0076,0.0931,25.79,19.34,19.34,19.89,2327.88,75.65,62.0,9.95
India,Asia,2000,1056.0,470.0,26.4,2.64,10.0,9.24,23.76,8.32,9.5,5.94,0.53,211.2,528.0,3168.0,19.19,5.13,0.53,0.0562,0.0554,10.56,7.92,7.92,18.7,1.18,44.27,50.0,3.67
India,Asia,2001,1071.84,500.55,27.2,2.94,10.8,9.66,24.26,8.3,9.61,6.36,0.54,267.96,632.39,3311.99,19.51,6.35,0.54,0.0535,0.0789,10.88,8.16,8.16,18.43,1.55,46.48,50.5,3.75
India,Asia,2002,1087.92,533.09,28.02,3.25,11.6,10.09,24.77,8.27,9.71,6.79,0.56,339.97,757.41,3462.52,19.83,6.79,0.56,0.051,0.0826,11.21,8.41,8.41,17.36,2.04,47.47,51.0,4.68
India,Asia,2003,1104.24,567.74,28.87,3.58,12.4,10.54,25.29,8.24,9.81,7.23,0.58,431.34,907.15,3619.89,20.16,7.54,0.58,0.0486,0.0724,11.55,8.66,8.66,18.52,2.68,48.04,51.5,4.24
India,Asia,2004,1120.8,604.64,29.74,3.93,13.2,11.0,25.81,8.21,9.91,7.69,0.59,547.27,1086.49,3784.41,20.49,8.07,0.59,0.0462,0.0784,11.9,8.92,8.92,18.89,3.49,51.45,52.0,4.61
India,Asia,2005,1137.61,643.94,30.64,4.29,14.0,11.49,26.35,8.17,10.01,8.17,0.61,694.34,1301.29,3956.41,20.83,6.9,0.61,0.044,0.0794,12.26,9.19,9.19,18.5,4.53,51.81,52.5,5.05
India,Asia,2006,1154.68,685.8,31.56,4.67,14.8,11.99,26.89,8.12,10.11,8.66,0.63,880.95,1558.56,4136.23,21.17,8.95,0.63,0.0419,0.0625,12.63,9.47,9.47,17.99,5.87,50.58,53.0,4.98
India,Asia,2007,1172.0,730.37,32.52,5.07,15.6,12.52,27.45,8.07,10.21,9.17,0.65,1117.7,1866.68,4324.22,21.51,5.05,0.65,0.0398,0.0691,13.01,9.76,9.76,18.37,7.58,52.55,53.5,5.14
India,Asia,2008,1189.58,777.85,33.5,5.49,16.4,13.07,28.01,8.01,10.31,9.69,0.67,1418.09,2235.72,4520.76,21.85,5.18,0.67,0.0379,0.0535,13.4,10.05,10.05,18.97,9.76,54.04,54.0,4.83
India,Asia,2009,1207.42,828.41,34.51,5.94,17.2,13.63,28.58,7.94,10.4,10.23,0.69,1799.2,2677.73,4726.23,22.2,7.88,0.69,0.036,0.0843,13.81,10.35,10.35,17.79,12.53,56.29,54.5,4.94
India,Asia,2010,1225.53,882.25,35.56,6.4,18.0,14.22,29.16,7.87,10.5,10.79,0.71,2282.73,3207.11,4941.03,22.55,5.61,0.71,0.0343,0.0763,14.22,10.67,10.67,18.48,16.06,57.55,55.0,5.73
India,Asia,2011,1243.91,939.6,36.63,7.33,20.0,14.84,29.31,7.68,10.43,11.19,0.73,2896.21,3841.16,5165.6,22.42,10.86,0.73,0.0326,0.0772,14.65,10.99,10.99,18.09,21.86,59.38,55.5,5.42
India,Asia,2012,1262.57,1000.68,37.74,8.3,22.0,15.47,29.44,7.48,10.36,11.6,0.75,3674.57,4600.56,5400.38,22.27,8.15,0.75,0.0309,0.0611,15.1,11.32,11.32,17.53,29.45,61.25,56.0,6.14
India,Asia,2013,1281.51,1065.72,38.88,9.33,24.0,16.14,29.55,7.27,10.28,12.0,0.78,4662.11,5510.09,5645.83,22.1,9.89,0.78,0.0294,0.0759,15.55,11.66,11.66,17.87,39.34,59.23,56.5,5.7
India,Asia,2014,1300.73,1134.99,40.05,10.41,26.0,16.82,29.64,7.05,10.2,12.39,0.8,5915.05,6599.43,5902.43,21.92,9.31,0.8,0.0279,0.0896,16.02,12.02,12.02,18.88,52.2,60.92,57.0,6.55
India,Asia,2015,1320.25,1208.77,41.27,11.55,28.0,17.54,29.71,6.83,10.1,12.78,0.83,7504.72,7904.14,6170.7,21.72,10.76,0.83,0.0265,0.0847,16.51,12.38,12.38,18.82,68.85,62.68,57.5,8.0
India,Asia,2016,1340.05,1287.34,42.51,12.75,30.0,18.28,29.76,6.61,10.0,13.15,0.85,9521.62,9466.79,6451.15,21.5,8.65,0.85,0.0251,0.0943,17.01,12.75,12.75,17.67,90.35,62.66,58.0,7.95
India,Asia,2017,1360.15,1371.01,43.8,14.02,32.0,19.05,29.78,6.37,9.89,13.52,0.88,12080.55,11338.37,6744.36,21.26,6.84,0.88,0.0238,0.0997,17.52,13.14,13.14,19.09,118.03,65.3,58.5,8.15
India,Asia,2018,1380.55,1460.13,45.12,15.34,34.0,19.85,29.78,6.13,9.77,13.88,0.9,15327.2,13579.97,7050.89,21.01,10.1,0.9,0.0226,0.0859,18.05,13.54,13.54,18.07,153.59,66.34,59.0,8.6
India,Asia,2019,1401.26,1555.04,46.49,16.73,36.0,20.69,29.75,5.89,9.64,14.22,0.93,19446.39,16264.73,7371.35,20.74,11.27,0.93,0.0214,0.0939,18.59,13.95,13.95,17.85,199.18,67.3,59.5,8.98
India,Asia,2020,1422.28,1656.11,47.89,18.2,38.0,21.55,29.69,5.64,9.5,14.55,0.96,24672.61,19480.27,7706.38,20.44,10.8,0.96,0.0202,0.1043,19.16,14.37,14.37,19.12,257.5,67.65,60.0,8.57
India,Asia,2021,1443.61,1763.76,49.34,19.74,40.0,22.45,29.6,5.39,9.35,14.86,0.99,31303.37,23331.52,8056.64,20.13,12.15,0.99,0.0192,0.0726,19.74,14.8,14.8,19.01,331.97,71.96,60.5,9.23
India,Asia,2022,1465.27,1878.4,50.83,21.35,42.0,23.38,29.48,5.13,9.2,15.15,1.02,39716.15,27944.16,8422.81,19.8,10.58,1.02,0.0181,0.0987,20.33,15.25,15.25,18.8,426.9,71.58,61.0,9.74
India,Asia,2023,1487.25,2000.5,52.37,23.04,44.0,24.35,29.32,4.87,9.03,15.42,1.05,50389.86,33468.72,8805.63,19.44,10.89,1.05,0.0171,0.1129,20.95,15.71,15.71,19.73,547.75,71.38,61.5,9.02
India,Asia,2024,1509.55,2130.53,53.95,24.82,46.0,25.36,29.13,4.6,8.86,15.67,1.08,63932.14,40085.48,9205.84,19.07,8.91,1.08,0.0162,0.0767,21.58,16.18,16.18,18.15,701.35,74.53,62.0,9.17
Germany,Europe,2000,82.0,1950.0,4.1,0.8,19.5,1.43,3.3,1.16,1.32,0.83,0.08,82.0,164.0,410.0,2.53,0.81,0.08,0.0021,0.0938,1.23,1.23,1.23,9.05,9.51,61.26,75.0,5.78
Germany,Europe,2001,82.66,1998.75,4.19,0.86,20.54,1.49,3.33,1.14,1.32,0.87,0.08,103.32,195.07,425.68,2.54,0.7,0.08,0.0021,0.0899,1.26,1.26,1.26,10.3,11.8,62.71,75.5,6.39
